user_id,amount,transaction_type,is_international,new_payee,hour,day_of_week,location,merchant_category,failed_login_attempts,account_age_days,transactions_last_24h,amount_ratio,time_risk,velocity_score,account_risk,is_fraud
user_9531,7649.66,debit_card,True,True,2,0,ID,jewelry,6,1739,14,7.65,10,14,1,1
user_5463,540.65,credit_card,False,False,15,1,CA,gas,0,2887,1,10.81,1,1,1,0
user_6727,48.82,credit_card,False,False,16,5,US,restaurant,0,1653,2,1.22,1,2,1,0
user_5609,600.45,ach,False,False,20,2,AU,utilities,0,1200,2,7.51,2,2,1,0
user_2380,98.95,credit_card,False,False,20,6,UK,retail,0,3220,1,0.66,2,1,1,0
user_5256,9758.24,cryptocurrency,True,True,10,2,UK,wire_transfer,3,1439,20,19.52,1,20,1,1
user_5162,196.55,ach,False,False,14,5,AU,groceries,0,1656,2,1.97,1,2,1,0
user_3777,177.41,credit_card,False,False,14,3,UK,groceries,0,1129,2,1.77,1,2,1,0
user_2867,261.48,debit_card,True,False,19,5,AU,utilities,0,2191,2,3.27,2,2,1,0
user_4150,55.8,debit_card,False,True,15,1,UK,groceries,0,951,2,0.56,1,2,1,0
user_9175,85.9,debit_card,False,False,6,5,CA,utilities,0,3604,3,1.07,3,3,1,0
user_7361,82.91,credit_card,False,False,19,1,CA,groceries,0,1435,1,0.83,2,1,1,0
user_9394,99.62,debit_card,False,False,16,1,AU,groceries,0,484,2,1.0,1,2,1,0
user_2767,69.39,debit_card,False,False,12,5,AU,retail,0,976,2,0.46,1,2,1,0
user_6085,97.38,credit_card,False,False,11,2,CA,utilities,0,130,1,1.22,1,1,5,0
user_1651,1832.65,credit_card,False,False,9,1,AU,groceries,0,2722,3,18.33,3,3,1,0
user_4814,95.66,ach,False,False,6,2,US,restaurant,0,2051,3,2.39,3,3,1,0
user_8834,91.4,credit_card,False,False,16,2,UK,utilities,0,1733,1,1.14,1,1,1,0
user_4617,1183.76,debit_card,True,True,5,4,BR,jewelry,8,1855,17,1.18,10,17,1,1
user_3868,730.93,debit_card,False,False,21,2,AU,groceries,0,2617,1,7.31,2,1,1,0
user_1520,48.23,credit_card,False,False,9,2,CA,groceries,0,982,2,0.48,3,2,1,0
user_1502,92.0,ach,False,True,18,0,CA,retail,0,1570,2,0.61,2,2,1,0
user_3926,29.57,credit_card,False,False,6,3,US,groceries,0,2018,3,0.3,3,3,1,0
user_4304,1015.09,debit_card,False,True,16,3,CA,restaurant,0,167,2,25.38,1,2,5,0
user_3636,306.42,credit_card,False,False,21,6,UK,gas,0,629,3,6.13,2,3,1,0
user_5438,6216.15,wire_transfer,True,True,2,4,NG,wire_transfer,5,524,12,12.43,10,12,1,1
user_4637,1030.32,debit_card,True,False,22,2,CA,groceries,0,1855,3,10.3,2,3,1,0
user_6488,441.65,credit_card,False,False,12,3,US,gas,0,1107,2,8.83,1,2,1,0
user_3079,148.31,ach,False,False,19,1,US,utilities,0,3189,2,1.85,2,2,1,0
user_1082,943.17,ach,False,False,20,6,AU,groceries,0,2230,1,9.43,2,1,1,0
user_6868,91.15,ach,False,False,14,0,US,restaurant,0,2017,1,2.28,1,1,1,0
user_6608,618.22,debit_card,False,True,16,4,UK,gas,0,2528,3,12.36,1,3,1,0
user_7022,156.08,ach,False,False,9,4,AU,restaurant,0,3198,3,3.9,3,3,1,0
user_4727,1615.55,credit_card,False,False,6,1,AU,retail,0,3382,1,10.77,3,1,1,0
user_8685,372.49,debit_card,False,False,19,0,US,retail,0,354,3,2.48,2,3,1,0
user_2013,491.58,credit_card,False,False,11,0,UK,utilities,0,2955,1,6.14,1,1,1,0
